date,ticker,name,price,기관_수량,외국인_수량,기관_금액,외국인_금액,source
2026-08-27,KRX:000660,SK하이닉스,1730000.0,-140329.0,-159385.0,-242769170000.0,-275736050000.0,naver
2026-08-27,KRX:005930,삼성전자,266000.0,-97433.0,1381786.0,-25917178000.0,367555076000.0,naver
2026-08-28,KRX:000660,SK하이닉스,1653000.0,-796000.0,-190235.0,-1315788000000.0,-314458455000.0,naver
2026-08-28,KRX:005930,삼성전자,257000.0,-1652437.0,-1927155.0,-424676309000.0,-495278835000.0,naver
2026-08-31,KRX:000660,SK하이닉스,1674000.0,-314294.0,-211935.0,-526128156000.0,-354779190000.0,naver
2026-08-31,KRX:005930,삼성전자,260000.0,-2349842.0,-2293.0,-610958920000.0,-596180000.0,naver
2026-09-01,KRX:000660,SK하이닉스,1693000.0,-142669.0,91835.0,-241538617000.0,155476655000.0,naver
2026-09-01,KRX:005930,삼성전자,261000.0,-339843.0,-707536.0,-88699023000.0,-184666896000.0,naver
2026-09-02,KRX:000660,SK하이닉스,1613000.0,-295219.0,-651507.0,-476188247000.0,-1050880791000.0,naver
2026-09-02,KRX:005930,삼성전자,250500.0,-2977902.0,-1321536.0,-745964451000.0,-331044768000.0,naver
2026-09-03,KRX:000660,SK하이닉스,1596000.0,-187288.0,-234626.0,-298911648000.0,-374463096000.0,naver
2026-09-03,KRX:005930,삼성전자,250000.0,-839601.0,91825.0,-209900250000.0,22956250000.0,naver
