date,action,status,memo,entry_via
2026-08-20,반등 시 전자/SK하이닉스 레버리지 조금 줄여보기,진행중,8/20(목) 기준 약 2천만원 축소 목표,chat
2026-08-20,미장 운용방안 고민,진행중,현재 SOXL·마벨 본주 위주로 방치 중 — 리밸런싱 여부 검토 필요,chat
