key,value
company_loan,240000000.0
margin_call_ratio,1.4
salary,80000000
principal_total,340000000
cum_interest,21306634
cum_course_fees,4654000
cum_tax_est,21243198.9
principal_국장,360000000
principal_미장,-60000000
principal_ISA,40000000
