ticker,name,account,qty,avg_price_krw,lev,sector,uses_credit,stop_price_krw,quote_symbol,quote_ccy
KRX:000660,SK하이닉스,국장,140.0,1887803.429,1,반도체/HW,Y,1887803.429,000660,KRW
KRX:005930,삼성전자,국장,900.0,233577.3333,1,반도체/HW,Y,233577.3333,005930,KRW
KRX:0193T0,SK하이닉스X2,국장,13500.0,20042.0,2,반도체/HW,Y,20042.0,0193T0,KRW
KRX:0193W0,삼성전자X2,국장,12000.0,18280.0,2,반도체/HW,Y,18280.0,0193W0,KRW
KRX:009150,삼성전기,국장,60.0,1483987.0,1,반도체/HW,Y,1483987.0,009150,KRW
AMZN,아마존닷컴,미장,121.0,391388.0,1,반도체/HW,N,274486.0,AMZN,USD
KRX:012330,현대모비스,국장,100.0,633213.0,1,로봇/피지컬AI,Y,633213.0,012330,KRW
KRX:0193T0,SK하이닉스X2,ISA,3000.0,17550.0,2,반도체/HW,N,17550.0,0193T0,KRW
KRX:009150,삼성전기,ISA,7.0,1187540.0,1,AI/데이터센터,N,1187540.0,009150,KRW
